timing:
nodes |m100 gpu+cpu  | m100 (cpu) | skl (cpu)
------+--------------+------------+----------
1     |     -        |    6840    |   3600 
2     |     222	     |    4200	  |   1983
4     |     164	     |    2838	  |   1126
8     |     133	     |    2101	  |    874
16    |     118	     |    1939	  |    760
